time_of_day_key,time,hour
131200,13:12:00.000000,13
131300,13:13:00.000000,13
131400,13:14:00.000000,13
131500,13:15:00.000000,13
131600,13:16:00.000000,13
131700,13:17:00.000000,13
131800,13:18:00.000000,13
131900,13:19:00.000000,13
132000,13:20:00.000000,13
132100,13:21:00.000000,13
132200,13:22:00.000000,13
132300,13:23:00.000000,13
132400,13:24:00.000000,13
132500,13:25:00.000000,13
132600,13:26:00.000000,13
132700,13:27:00.000000,13
132800,13:28:00.000000,13
132900,13:29:00.000000,13
133000,13:30:00.000000,13
133100,13:31:00.000000,13
133200,13:32:00.000000,13
133300,13:33:00.000000,13
133400,13:34:00.000000,13
133500,13:35:00.000000,13
133600,13:36:00.000000,13
133700,13:37:00.000000,13
133800,13:38:00.000000,13
133900,13:39:00.000000,13
134000,13:40:00.000000,13
134100,13:41:00.000000,13
134200,13:42:00.000000,13
134300,13:43:00.000000,13
134500,13:45:00.000000,13
134600,13:46:00.000000,13
134700,13:47:00.000000,13
134800,13:48:00.000000,13
134900,13:49:00.000000,13
135000,13:50:00.000000,13
135100,13:51:00.000000,13
135200,13:52:00.000000,13
135300,13:53:00.000000,13
135400,13:54:00.000000,13
135500,13:55:00.000000,13
135600,13:56:00.000000,13
135700,13:57:00.000000,13
135800,13:58:00.000000,13
135900,13:59:00.000000,13
140000,14:00:00.000000,14
140100,14:01:00.000000,14
140200,14:02:00.000000,14
140300,14:03:00.000000,14
140400,14:04:00.000000,14
140500,14:05:00.000000,14
140600,14:06:00.000000,14
140700,14:07:00.000000,14
140800,14:08:00.000000,14
140900,14:09:00.000000,14
141000,14:10:00.000000,14
141100,14:11:00.000000,14
141200,14:12:00.000000,14
141300,14:13:00.000000,14
141400,14:14:00.000000,14
141500,14:15:00.000000,14
141600,14:16:00.000000,14
141700,14:17:00.000000,14
141800,14:18:00.000000,14
141900,14:19:00.000000,14
142000,14:20:00.000000,14
142100,14:21:00.000000,14
142200,14:22:00.000000,14
